Account	Date	Year	Month	Status	TxnCount
TK-Investments (037441394)	2022-06-30	2022	06	Missing	0
TK-Investments (037441394)	2022-07-31	2022	07	Missing	0
TK-Investments (037441394)	2022-08-31	2022	08	Missing	0
TK-Investments (037441394)	2022-09-30	2022	09	Missing	0
TK-Investments (037441394)	2022-10-31	2022	10	Missing	0
TK-Investments (037441394)	2022-11-30	2022	11	Missing	0
TK-Investments (037441394)	2022-12-31	2022	12	Missing	0
TK-Investments (037441394)	2023-01-31	2023	01	Missing	0
TK-Investments (037441394)	2023-02-28	2023	02	Missing	0
TK-Investments (037441394)	2023-03-31	2023	03	Missing	0
TK-Investments (037441394)	2023-04-30	2023	04	Missing	0
TK-Investments (037441394)	2023-05-31	2023	05	Missing	0
TK-Investments (037441394)	2023-06-30	2023	06	Missing	0
TK-Investments (037441394)	2023-07-31	2023	07	Missing	0
TK-Investments (037441394)	2023-08-31	2023	08	Missing	0
TK-Investments (037441394)	2023-09-30	2023	09	Missing	0
TK-Investments (037441394)	2023-10-31	2023	10	Missing	0
TK-Investments (037441394)	2023-11-30	2023	11	Missing	0
TK-Investments (037441394)	2023-12-31	2023	12	Missing	0
TK-Investments (037441394)	2024-01-31	2024	01	Missing	0
TK-Investments (037441394)	2024-02-29	2024	02	Missing	0
TK-Investments (037441394)	2024-03-31	2024	03	Missing	0
TK-Investments (037441394)	2024-04-30	2024	04	Missing	0
TK-Investments (037441394)	2024-05-31	2024	05	Missing	0
TK-Investments (037441394)	2024-06-30	2024	06	Missing	0
TK-Investments (037441394)	2024-07-31	2024	07	Missing	0
TK-Investments (037441394)	2024-08-31	2024	08	Missing	0
TK-Investments (037441394)	2024-09-30	2024	09	Missing	0
TK-Investments (037441394)	2024-10-31	2024	10	Missing	0
TK-Investments (037441394)	2024-11-30	2024	11	Missing	0
TK-Investments (037441394)	2024-12-31	2024	12	Missing	0
TK-Investments (037441394)	2025-01-31	2025	01	Provided	16
TK-Investments (037441394)	2025-02-28	2025	02	Provided	17
TK-Investments (037441394)	2025-03-31	2025	03	Provided	13
TK-Investments (037441394)	2025-04-30	2025	04	Provided	18
TK-Investments (037441394)	2025-05-31	2025	05	Provided	14
TK-Investments (037441394)	2025-06-30	2025	06	Provided	17
TK-Investments (037441394)	2025-07-31	2025	07	Provided	19
TK-Investments (037441394)	2025-08-31	2025	08	Provided	15
TK-Investments (037441394)	2025-09-30	2025	09	Provided	15
TK-Investments (037441394)	2025-10-31	2025	10	Provided	12
TK-Investments (037441394)	2025-11-30	2025	11	Provided	11
TK-Investments (037441394)	2025-12-31	2025	12	Provided	17
TK-Investments (037441394)	2026-01-31	2026	01	Provided	16
TK-Investments (037441394)	2026-02-28	2026	02	Provided	16
TK-Investments (037441394)	2026-03-31	2026	03	Provided	17
TK-Investments (037441394)	2026-04-30	2026	04	Missing	0
TK-Investments (037441394)	2026-05-31	2026	05	Missing	0
TK-Investments (037441394)	2026-06-30	2026	06	Missing	0
TK-Investments (037441394)	2026-07-31	2026	07	Missing	0
TK-Investments (037441394)	2026-08-31	2026	08	Missing	0
TK-Investments (037441394)	2026-09-30	2026	09	Missing	0
TK-Investments (037441394)	2026-10-31	2026	10	Missing	0
TK-Investments (037441394)	2026-11-30	2026	11	Missing	0
TK-Investments (037441394)	2026-12-31	2026	12	Missing	0
TWS-Warehouse (959089530)	2022-01-31	2022	01	Missing	0
TWS-Warehouse (959089530)	2022-02-28	2022	02	Missing	0
TWS-Warehouse (959089530)	2022-03-31	2022	03	Missing	0
TWS-Warehouse (959089530)	2022-04-30	2022	04	Missing	0
TWS-Warehouse (959089530)	2022-05-31	2022	05	Missing	0
TWS-Warehouse (959089530)	2022-06-30	2022	06	Missing	0
TWS-Warehouse (959089530)	2022-07-31	2022	07	Missing	0
TWS-Warehouse (959089530)	2022-08-31	2022	08	Missing	0
TWS-Warehouse (959089530)	2022-09-30	2022	09	Missing	0
TWS-Warehouse (959089530)	2022-10-31	2022	10	Missing	0
TWS-Warehouse (959089530)	2022-11-30	2022	11	Missing	0
TWS-Warehouse (959089530)	2022-12-31	2022	12	Missing	0
TWS-Warehouse (959089530)	2023-01-31	2023	01	Missing	0
TWS-Warehouse (959089530)	2023-02-28	2023	02	Missing	0
TWS-Warehouse (959089530)	2023-03-31	2023	03	Missing	0
TWS-Warehouse (959089530)	2023-04-30	2023	04	Missing	0
TWS-Warehouse (959089530)	2023-05-31	2023	05	Provided	0
TWS-Warehouse (959089530)	2023-06-30	2023	06	Provided	1
TWS-Warehouse (959089530)	2023-07-31	2023	07	Provided	0
TWS-Warehouse (959089530)	2023-08-31	2023	08	Provided	0
TWS-Warehouse (959089530)	2023-09-30	2023	09	Provided	0
TWS-Warehouse (959089530)	2023-10-31	2023	10	Provided	0
TWS-Warehouse (959089530)	2023-11-30	2023	11	Provided	0
TWS-Warehouse (959089530)	2023-12-31	2023	12	Provided	1
TWS-Warehouse (959089530)	2024-01-31	2024	01	Missing	0
TWS-Warehouse (959089530)	2024-02-29	2024	02	Provided	1
TWS-Warehouse (959089530)	2024-03-31	2024	03	Provided	0
TWS-Warehouse (959089530)	2024-04-30	2024	04	Provided	1
TWS-Warehouse (959089530)	2024-05-31	2024	05	Provided	1
TWS-Warehouse (959089530)	2024-06-30	2024	06	Provided	3
TWS-Warehouse (959089530)	2024-07-31	2024	07	Missing	0
TWS-Warehouse (959089530)	2024-08-31	2024	08	Missing	0
TWS-Warehouse (959089530)	2024-09-30	2024	09	Provided	1
TWS-Warehouse (959089530)	2024-10-31	2024	10	Provided	5
TWS-Warehouse (959089530)	2024-11-30	2024	11	Provided	9
TWS-Warehouse (959089530)	2024-12-31	2024	12	Provided	9
TWS-Warehouse (959089530)	2025-01-31	2025	01	Provided	12
TWS-Warehouse (959089530)	2025-02-28	2025	02	Provided	10
TWS-Warehouse (959089530)	2025-03-31	2025	03	Provided	9
TWS-Warehouse (959089530)	2025-04-30	2025	04	Provided	11
TWS-Warehouse (959089530)	2025-05-31	2025	05	Provided	9
TWS-Warehouse (959089530)	2025-06-30	2025	06	Provided	8
TWS-Warehouse (959089530)	2025-07-31	2025	07	Provided	13
TWS-Warehouse (959089530)	2025-08-31	2025	08	Provided	10
TWS-Warehouse (959089530)	2025-09-30	2025	09	Provided	8
TWS-Warehouse (959089530)	2025-10-31	2025	10	Provided	11
TWS-Warehouse (959089530)	2025-11-30	2025	11	Provided	7
TWS-Warehouse (959089530)	2025-12-31	2025	12	Provided	13
TWS-Warehouse (959089530)	2026-01-31	2026	01	Provided	9
TWS-Warehouse (959089530)	2026-02-28	2026	02	Provided	8
TWS-Warehouse (959089530)	2026-03-31	2026	03	Provided	7
TWS-Warehouse (959089530)	2026-04-30	2026	04	Provided	10
TWS-Warehouse (959089530)	2026-05-31	2026	05	Missing	0
TWS-Warehouse (959089530)	2026-06-30	2026	06	Missing	0
TWS-Warehouse (959089530)	2026-07-31	2026	07	Missing	0
TWS-Warehouse (959089530)	2026-08-31	2026	08	Missing	0
TWS-Warehouse (959089530)	2026-09-30	2026	09	Missing	0
TWS-Warehouse (959089530)	2026-10-31	2026	10	Missing	0
TWS-Warehouse (959089530)	2026-11-30	2026	11	Missing	0
TWS-Warehouse (959089530)	2026-12-31	2026	12	Missing	0
